match_id,t1_xi_bat_avg,t2_xi_bat_avg,t1_xi_bat_sr,t2_xi_bat_sr,t1_xi_bowl_wpm,t2_xi_bowl_wpm,t1_xi_bowl_er,t2_xi_bowl_er,xi_bat_diff,xi_sr_diff,xi_bowl_diff,xi_er_diff
1359524,28.2,21.983333333333334,144.31688447334895,137.05299973096584,1.5416666666666667,1.25625,8.36728232623927,6.892201972776583,6.216666666666665,7.263884742383112,0.28541666666666665,-1.4750803534626868
1359523,28.625,33.99880952380953,165.10176110694104,165.34506240234037,0.96875,1.50625,9.544333175733186,8.384024258288314,-5.373809523809527,-0.2433012953993341,-0.5375000000000001,-1.1603089174448726
1359525,28.387142857142855,21.725,169.6025430982908,141.61407950255386,1.6889880952380953,1.2455357142857142,7.053498777540021,7.1152882205513786,6.662142857142854,27.98846359573693,0.44345238095238115,0.06178944301135747
1359526,25.2,24.04357142857143,143.18945667981507,135.8180485844056,1.375,1.382440476190476,7.529830401338781,7.749221325570327,1.1564285714285703,7.371408095409464,-0.007440476190476053,0.21939092423154527
1359527,28.281190476190478,33.778571428571425,147.2579431108796,153.12287524151932,1.03125,1.055059523809524,8.655451423344399,8.18158211816069,-5.497380952380947,-5.8649321306397155,-0.023809523809523947,-0.4738693051837082
1359528,30.696428571428573,28.865,147.30161401470684,158.4033415497874,1.43125,1.2083333333333333,8.505892268207965,8.52214645621842,1.8314285714285745,-11.101727535080556,0.22291666666666665,0.016254188010455195
1359529,32.957142857142856,24.095,161.63443294330452,142.11572370610585,1.5729166666666667,1.19375,8.081749186286649,6.964857063648669,8.862142857142857,19.518709237198664,0.37916666666666665,-1.1168921226379798
1359530,30.895,25.825,150.2355574295315,143.53648085399396,1.2708333333333333,1.3125,7.857177197802198,8.053146050630161,5.07,6.699076575537532,-0.04166666666666674,0.1959688528279635
1359531,30.925,31.187142857142856,162.88388725542288,170.39236906883966,1.2125,1.6741071428571428,8.660008040808938,7.103356532830524,-0.26214285714285523,-7.508481813416779,-0.4616071428571429,-1.5566515079784136
1359532,25.03452380952381,20.3,142.43050733289004,137.5405138004706,1.0,1.05,8.09897556652847,7.5433415823084395,4.734523809523811,4.889993532419453,-0.050000000000000044,-0.5556339842200302
1359533,28.15,23.291666666666664,149.7760744821342,135.61096864667968,1.0446428571428572,1.2202380952380953,8.348475371019465,6.832920433760125,4.858333333333334,14.165105835454511,-0.17559523809523814,-1.5155549372593393
1359534,29.35,30.3,147.08651756604357,146.3571734220896,1.4,1.375,8.956302874769555,8.248621251373843,-0.9499999999999993,0.7293441439539663,0.02499999999999991,-0.7076816233957128
1359535,32.2,28.475,156.78146930188262,147.5556681147501,1.5392857142857144,1.125,8.105727202241638,8.51037851037851,3.7250000000000014,9.225801187132532,0.41428571428571437,0.4046513081368719
1359536,30.79,27.430952380952384,162.86271620238202,141.98430009704467,1.65625,1.1339285714285714,7.586660654473491,7.97346508683441,3.3590476190476153,20.87841610533735,0.5223214285714286,0.3868044323609192
1359537,17.525,30.907142857142855,135.6742497594167,162.9780565980878,1.2291666666666667,1.28125,7.640513738918992,9.1619973729676,-13.382142857142856,-27.30380683867108,-0.05208333333333326,1.5214836340486073
1359538,19.978571428571428,28.38357142857143,134.58212185027887,151.87598921777231,1.1026785714285714,1.28125,7.22031038550956,8.263476781259547,-8.405000000000001,-17.293867367493448,-0.1785714285714286,1.0431663957499868
1359539,23.825,28.51666666666667,159.8101247965559,138.79248493522806,0.925,1.5229166666666667,9.010502061605628,8.415661808251627,-4.69166666666667,21.017639861327837,-0.5979166666666667,-0.5948402533540005
1359540,29.441666666666663,28.575,153.59190674891198,143.0810752013042,1.15625,1.36875,8.55188064588833,8.504106836899712,0.8666666666666636,10.51083154760778,-0.2124999999999999,-0.047773808988617716
1359541,31.75,22.535714285714285,151.95917220650534,142.0544217687075,1.4479166666666667,1.0625,8.013752920235845,7.299865886260892,9.214285714285715,9.904750437797844,0.38541666666666674,-0.7138870339749532
